AREA,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION
471000000,1436129.5,1759,10,M261E,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Sierra Nevada Section
604000000,1598071.2,1760,71,-331H,DRY DOMAIN,Temperate Steppe Division,Great Plains-Palouse Dry Steppe Province,Central High Plains Section
7453309.5,12864.647,1761,1845,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
1510857.3,4958.93,1762,1846,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
633000000,1336005.5,1763,33,M341A,DRY DOMAIN,Temperate Desert Regime Mountains,Nevada-Utah Mountains-Semi-Desert-Coniferous Forest-Alpine Meadow Province,Central Great Basin Mountains Section
1330389.1,5600.447,1764,1847,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
153000000,1819143.5,1765,87,-332E,DRY DOMAIN,Temperate Steppe Division,Great Plains Steppe Province,South-Central Great Plains Section
193000000,678177,1766,45,M331E,DRY DOMAIN,Temperate Steppe Regime Mountains,Southern Rocky Mountain Steppe-Open Woodland-Coniferous Forest-Alpine Meadow Province,Uinta Mountains Section
83487592,92606.023,1767,134,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
190000000,2868550.5,1768,102,-231A,HUMID TEMPERATE DOMAIN,Subtropical Division,Southeastern Mixed Forest Province,Southern Appalachian Piedmont Section
314000000,897189.62,1769,58,M331H,DRY DOMAIN,Temperate Steppe Regime Mountains,Southern Rocky Mountain Steppe-Open Woodland-Coniferous Forest-Alpine Meadow Province,North-Central Highlands Section
9255125,18231.492,1770,1848,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
881679.75,3759.132,1771,1849,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
665000000,1175706.1,1772,70,-331C,DRY DOMAIN,Temperate Steppe Division,Great Plains-Palouse Dry Steppe Province,Central High Tablelands Section
244000000,696889.06,1773,88,-251G,HUMID TEMPERATE DOMAIN,Prairie Division,Prairie Parkland (Temperate) Province,Central Loess Plains Section
260000000,838498.37,1774,32,-341D,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert and Desert Province,Mono Section
1531467,6146.935,1775,1850,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
1074031.5,3973.607,1776,1851,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
1272513.3,4953.361,1777,1852,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
925834.75,4354.879,1778,1853,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
857005.75,3986.857,1779,1854,M423A,HUMID TROPICAL DOMAIN,Rainforest Regime Mountains,Hawaiian Islands Province,Hawaiian Islands Section
196935424,76791,1780,1855,M423A,HUMID TROPICAL DOMAIN,Rainforest Regime Mountains,Hawaiian Islands Province,Hawaiian Islands Section
1159287.3,4009.848,1781,1856,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
5518450,13617.62,1782,1857,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
2643473.5,9768.954,1783,1858,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
727286.62,3188.005,1784,1859,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
12134036,26461.676,1785,1860,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
914000000,379947.96,1786,44,-341C,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert and Desert Province,Uinta Basin Section
145000000,173560.7,1787,1864,M423A,HUMID TROPICAL DOMAIN,Rainforest Regime Mountains,Hawaiian Islands Province,Hawaiian Islands Section
23092978,32306.984,1788,134,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
1186460.1,4644.531,1789,1869,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
1365406.2,5970.716,1790,1870,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
520876.71,2758.768,1791,1871,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
1112809.7,4835.598,1792,1872,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
1232758.2,5379.589,1793,1873,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
6986845.5,12800.521,1794,1874,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
1159343,4500.43,1795,1876,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section
402000000,921459.37,1796,126,-222F,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Interior Low Plateau Bluegrass Section
