SAMPLE,OTU,ABUNDANCE
NTP18,425-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP3,425-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,2
NTP4,425-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,2
NTP3,442-Root; k__Bacteria,1
NTP8,444-Root; k__Bacteria,1
NTP34,468-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP36,468-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,2
NTP34,475-Root; k__Bacteria,1
NTP14,505-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,2
NTP36,542-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP9,543-Root; k__Bacteria,1
NTP10,554-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP4,554-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP6,554-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP21,557-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP22,557-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP33,598-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__,1
NTP13,607-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__0319-7L14; f__,1
NTP16,607-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__0319-7L14; f__,1
NTP9,607-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__0319-7L14; f__,1
NTP36,615-Root; k__Bacteria; p__Chloroflexi; c__Bljii12,2
NTP27,624-Root; k__Bacteria,1
NTP1,626-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP2,626-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,3
NTP1,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,14
NTP10,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,3
NTP11,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,3
NTP12,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,4
NTP13,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,2
NTP14,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,3
NTP16,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,7
NTP18,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,8
NTP2,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,7
NTP21,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,2
NTP22,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,18
NTP23,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,25
NTP24,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,6
NTP25,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,12
NTP26,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,5
NTP27,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,38
NTP28,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,6
NTP29,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,8
NTP3,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,3
NTP32,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,12
NTP33,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP34,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,45
NTP36,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,7
NTP38,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,15
NTP39,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,19
NTP5,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,4
NTP6,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,10
NTP7,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,3
NTP8,628-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP22,630-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__S0208; f__,1
NTP34,630-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__S0208; f__,2
NTP38,630-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__S0208; f__,1
NTP39,630-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__S0208; f__,3
NTP38,631-Root; k__Bacteria; p__Armatimonadetes; c__S1a-1H; o__; f__,1
NTP16,642-Root; k__Bacteria; p__SPAM; c__FFCH6980; o__; f__,1
NTP2,642-Root; k__Bacteria; p__SPAM; c__FFCH6980; o__; f__,1
NTP22,642-Root; k__Bacteria; p__SPAM; c__FFCH6980; o__; f__,2
NTP27,642-Root; k__Bacteria; p__SPAM; c__FFCH6980; o__; f__,2
NTP34,642-Root; k__Bacteria; p__SPAM; c__FFCH6980; o__; f__,1
NTP38,642-Root; k__Bacteria; p__SPAM; c__FFCH6980; o__; f__,3
NTP9,642-Root; k__Bacteria; p__SPAM; c__FFCH6980; o__; f__,3
NTP32,679-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__,1
NTP27,690-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP5,690-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP7,690-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP10,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP11,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP12,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,2
NTP21,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP23,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP27,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP32,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,2
NTP36,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP6,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,2
NTP7,697-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP22,699-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP5,699-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP10,731-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP2,731-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP4,731-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP10,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP12,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP14,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,2
NTP18,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP22,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP29,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,2
NTP3,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
NTP33,749-Root; k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__HN1-15; f__,1
